"examples\\j30.sm\\j3018_5.sm"; 52; 688.1577ms
"examples\\j30.sm\\j3018_6.sm"; 62; 814.6842ms
"examples\\j30.sm\\j3018_7.sm"; 48; 699.7061ms
"examples\\j30.sm\\j3018_8.sm"; 52; 740.1017ms
"examples\\j30.sm\\j3018_9.sm"; 47; 789.8785ms
"examples\\j30.sm\\j3019_1.sm"; 40; 752.095ms
"examples\\j30.sm\\j3019_10.sm"; 47; 717.8036ms
"examples\\j30.sm\\j3019_2.sm"; 58; 8.8344ms
"examples\\j30.sm\\j3019_3.sm"; 83; 31.8259ms
"examples\\j30.sm\\j3019_4.sm"; 39; 9.8682ms
"examples\\j30.sm\\j3019_5.sm"; 48; 731.5609ms
"examples\\j30.sm\\j3019_6.sm"; 49; 581.672ms
"examples\\j30.sm\\j3019_7.sm"; 57; 696.1293ms
"examples\\j30.sm\\j3019_8.sm"; 55; 8.5918ms
"examples\\j30.sm\\j3019_9.sm"; 38; 119.9667ms
"examples\\j30.sm\\j301_1.sm"; 43; 964.3707ms
"examples\\j30.sm\\j301_10.sm"; 45; 781.0633ms
"examples\\j30.sm\\j301_2.sm"; 47; 1.0566377s
"examples\\j30.sm\\j301_3.sm"; 51; 742.6033ms
"examples\\j30.sm\\j301_4.sm"; 62; 1.082502s
"examples\\j30.sm\\j301_5.sm"; 39; 756.6892ms
"examples\\j30.sm\\j301_6.sm"; 48; 717.7866ms
"examples\\j30.sm\\j301_7.sm"; 60; 124.7664ms
"examples\\j30.sm\\j301_8.sm"; 53; 170.2269ms
"examples\\j30.sm\\j301_9.sm"; 49; 827.0658ms
"examples\\j30.sm\\j3020_1.sm"; 57; 8.451ms
"examples\\j30.sm\\j3020_10.sm"; 37; 7.705ms
"examples\\j30.sm\\j3020_2.sm"; 70; 7.8414ms
"examples\\j30.sm\\j3020_3.sm"; 49; 8.2655ms
"examples\\j30.sm\\j3020_4.sm"; 43; 8.6514ms
"examples\\j30.sm\\j3020_5.sm"; 61; 7.6181ms
"examples\\j30.sm\\j3020_6.sm"; 51; 8.6017ms
"examples\\j30.sm\\j3020_7.sm"; 42; 8.7146ms
"examples\\j30.sm\\j3020_8.sm"; 51; 8.2851ms
"examples\\j30.sm\\j3020_9.sm"; 41; 8.3526ms
"examples\\j30.sm\\j3021_1.sm"; 0; 547.9911ms
"examples\\j30.sm\\j3021_10.sm"; 69; 795.622ms
"examples\\j30.sm\\j3021_2.sm"; 59; 758.6805ms
"examples\\j30.sm\\j3021_3.sm"; 76; 677.5868ms
"examples\\j30.sm\\j3021_4.sm"; 70; 795.6168ms
"examples\\j30.sm\\j3021_5.sm"; 55; 759.0744ms
"examples\\j30.sm\\j3021_6.sm"; 76; 1.0317639s
"examples\\j30.sm\\j3021_7.sm"; 65; 776.0895ms
"examples\\j30.sm\\j3021_8.sm"; 62; 845.4263ms
"examples\\j30.sm\\j3021_9.sm"; 69; 1.0080411s
"examples\\j30.sm\\j3022_1.sm"; 42; 632.2583ms
"examples\\j30.sm\\j3022_10.sm"; 55; 939.7675ms
"examples\\j30.sm\\j3022_2.sm"; 45; 611.4912ms
"examples\\j30.sm\\j3022_3.sm"; 63; 809.2147ms
"examples\\j30.sm\\j3022_4.sm"; 42; 747.0517ms
"examples\\j30.sm\\j3022_5.sm"; 52; 827.5667ms
"examples\\j30.sm\\j3022_6.sm"; 52; 775.4998ms
"examples\\j30.sm\\j3022_7.sm"; 60; 714.8387ms
"examples\\j30.sm\\j3022_8.sm"; 55; 842.2812ms
"examples\\j30.sm\\j3022_9.sm"; 76; 616.9865ms
"examples\\j30.sm\\j3023_1.sm"; 63; 23.6997ms
"examples\\j30.sm\\j3023_10.sm"; 61; 8.0955ms
"examples\\j30.sm\\j3023_2.sm"; 53; 8.3485ms
"examples\\j30.sm\\j3023_3.sm"; 46; 10.2727ms
"examples\\j30.sm\\j3023_4.sm"; 65; 690.3535ms
"examples\\j30.sm\\j3023_5.sm"; 52; 723.1749ms
"examples\\j30.sm\\j3023_6.sm"; 48; 624.4912ms
"examples\\j30.sm\\j3023_7.sm"; 60; 577.132ms
"examples\\j30.sm\\j3023_8.sm"; 48; 121.0683ms
"examples\\j30.sm\\j3023_9.sm"; 63; 755.766ms
"examples\\j30.sm\\j3024_1.sm"; 53; 8.0337ms
"examples\\j30.sm\\j3024_10.sm"; 53; 7.7566ms
"examples\\j30.sm\\j3024_2.sm"; 58; 8.2218ms
"examples\\j30.sm\\j3024_3.sm"; 69; 7.8635ms
"examples\\j30.sm\\j3024_4.sm"; 53; 8.6915ms
"examples\\j30.sm\\j3024_5.sm"; 51; 8.1774ms
"examples\\j30.sm\\j3024_6.sm"; 56; 10.0316ms
"examples\\j30.sm\\j3024_7.sm"; 44; 8.6612ms
"examples\\j30.sm\\j3024_8.sm"; 38; 10.3342ms
"examples\\j30.sm\\j3024_9.sm"; 43; 9.8127ms
"examples\\j30.sm\\j3025_1.sm"; 93; 1.0173901s
"examples\\j30.sm\\j3025_10.sm"; 58; 797.8648ms
"examples\\j30.sm\\j3025_2.sm"; 76; 841.2442ms
"examples\\j30.sm\\j3025_3.sm"; 78; 1.2292838s
"examples\\j30.sm\\j3025_4.sm"; 81; 1.0343249s
"examples\\j30.sm\\j3025_5.sm"; 72; 1.0254908s
"examples\\j30.sm\\j3025_6.sm"; 58; 884.2574ms
"examples\\j30.sm\\j3025_7.sm"; 96; 910.7411ms
"examples\\j30.sm\\j3025_8.sm"; 69; 1.3261483s
"examples\\j30.sm\\j3025_9.sm"; 84; 782.6659ms
"examples\\j30.sm\\j3026_1.sm"; 59; 329.2481ms
"examples\\j30.sm\\j3026_10.sm"; 49; 867.8434ms
"examples\\j30.sm\\j3026_2.sm"; 40; 9.0253ms
"examples\\j30.sm\\j3026_3.sm"; 58; 88.1474ms
"examples\\j30.sm\\j3026_4.sm"; 62; 153.6681ms
"examples\\j30.sm\\j3026_5.sm"; 74; 738.9989ms
"examples\\j30.sm\\j3026_6.sm"; 54; 605.9272ms
"examples\\j30.sm\\j3026_7.sm"; 56; 228.2149ms
"examples\\j30.sm\\j3026_8.sm"; 66; 862.3961ms
"examples\\j30.sm\\j3026_9.sm"; 44; 751.7673ms
"examples\\j30.sm\\j3027_1.sm"; 43; 91.7934ms
"examples\\j30.sm\\j3027_10.sm"; 62; 8.962ms
"examples\\j30.sm\\j3027_2.sm"; 58; 9.7502ms
"examples\\j30.sm\\j3027_3.sm"; 60; 48.6403ms
"examples\\j30.sm\\j3027_4.sm"; 64; 85.5126ms
"examples\\j30.sm\\j3027_5.sm"; 49; 95.7529ms
"examples\\j30.sm\\j3027_6.sm"; 59; 104.9997ms
"examples\\j30.sm\\j3027_7.sm"; 49; 643.5806ms
"examples\\j30.sm\\j3027_8.sm"; 66; 72.6955ms
"examples\\j30.sm\\j3027_9.sm"; 55; 41.2442ms
"examples\\j30.sm\\j3028_1.sm"; 69; 8.375ms
"examples\\j30.sm\\j3028_10.sm"; 59; 8.3054ms
"examples\\j30.sm\\j3028_2.sm"; 57; 8.2814ms
"examples\\j30.sm\\j3028_3.sm"; 40; 8.814ms
"examples\\j30.sm\\j3028_4.sm"; 49; 8.3139ms
"examples\\j30.sm\\j3028_5.sm"; 73; 7.963ms
"examples\\j30.sm\\j3028_6.sm"; 55; 9.4379ms
"examples\\j30.sm\\j3028_7.sm"; 48; 8.8197ms
"examples\\j30.sm\\j3028_8.sm"; 53; 8.4539ms
"examples\\j30.sm\\j3028_9.sm"; 62; 8.3648ms
"examples\\j30.sm\\j3029_1.sm"; 86; 1.1088496s
"examples\\j30.sm\\j3029_10.sm"; 76; 675.0174ms
"examples\\j30.sm\\j3029_2.sm"; 90; 1.0121801s
"examples\\j30.sm\\j3029_3.sm"; 78; 876.5891ms
"examples\\j30.sm\\j3029_4.sm"; 103; 999.6806ms
"examples\\j30.sm\\j3029_5.sm"; 98; 1.0014578s
"examples\\j30.sm\\j3029_6.sm"; 92; 931.0789ms
"examples\\j30.sm\\j3029_7.sm"; 73; 902.6024ms
"examples\\j30.sm\\j3029_8.sm"; 81; 1.1861173s
"examples\\j30.sm\\j3029_9.sm"; 97; 1.1334034s
"examples\\j30.sm\\j302_1.sm"; 38; 816.2216ms
"examples\\j30.sm\\j302_10.sm"; 43; 820.5448ms
"examples\\j30.sm\\j302_2.sm"; 51; 1.0281451s
"examples\\j30.sm\\j302_3.sm"; 43; 6.3562ms
"examples\\j30.sm\\j302_4.sm"; 43; 929.3021ms
"examples\\j30.sm\\j302_5.sm"; 51; 69.8309ms
"examples\\j30.sm\\j302_6.sm"; 47; 64.6319ms
"examples\\j30.sm\\j302_7.sm"; 47; 6.2624ms
"examples\\j30.sm\\j302_8.sm"; 54; 838.7245ms
"examples\\j30.sm\\j302_9.sm"; 54; 989.0923ms
"examples\\j30.sm\\j3030_1.sm"; 48; 772.3974ms
"examples\\j30.sm\\j3030_10.sm"; 53; 745.6396ms
"examples\\j30.sm\\j3030_2.sm"; 68; 741.5097ms
"examples\\j30.sm\\j3030_3.sm"; 55; 824.4404ms
"examples\\j30.sm\\j3030_4.sm"; 53; 663.2633ms
"examples\\j30.sm\\j3030_5.sm"; 54; 682.9127ms
"examples\\j30.sm\\j3030_6.sm"; 62; 734.7894ms
"examples\\j30.sm\\j3030_7.sm"; 68; 703.6048ms
"examples\\j30.sm\\j3030_8.sm"; 46; 959.858ms
"examples\\j30.sm\\j3030_9.sm"; 46; 1.0658908s
"examples\\j30.sm\\j3031_1.sm"; 43; 22.0033ms
"examples\\j30.sm\\j3031_10.sm"; 56; 812.073ms
"examples\\j30.sm\\j3031_2.sm"; 63; 23.1943ms
"examples\\j30.sm\\j3031_3.sm"; 58; 11.9648ms
"examples\\j30.sm\\j3031_4.sm"; 50; 79.5984ms
"examples\\j30.sm\\j3031_5.sm"; 52; 670.7902ms
"examples\\j30.sm\\j3031_6.sm"; 53; 89.021ms
"examples\\j30.sm\\j3031_7.sm"; 61; 140.1736ms
"examples\\j30.sm\\j3031_8.sm"; 58; 12.394ms
"examples\\j30.sm\\j3031_9.sm"; 50; 847.4012ms
"examples\\j30.sm\\j3032_1.sm"; 61; 10.5197ms
"examples\\j30.sm\\j3032_10.sm"; 51; 10.7605ms
"examples\\j30.sm\\j3032_2.sm"; 60; 10.943ms
"examples\\j30.sm\\j3032_3.sm"; 57; 10.3059ms
"examples\\j30.sm\\j3032_4.sm"; 68; 9.9827ms
"examples\\j30.sm\\j3032_5.sm"; 54; 9.7731ms
"examples\\j30.sm\\j3032_6.sm"; 44; 8.3438ms
"examples\\j30.sm\\j3032_7.sm"; 35; 8.6268ms
"examples\\j30.sm\\j3032_8.sm"; 54; 8.5046ms
"examples\\j30.sm\\j3032_9.sm"; 65; 8.0809ms
"examples\\j30.sm\\j3033_1.sm"; 65; 635.0738ms
"examples\\j30.sm\\j3033_10.sm"; 53; 737.5613ms
"examples\\j30.sm\\j3033_2.sm"; 60; 662.3199ms
"examples\\j30.sm\\j3033_3.sm"; 55; 687.0258ms
"examples\\j30.sm\\j3033_4.sm"; 77; 724.6338ms
"examples\\j30.sm\\j3033_5.sm"; 53; 659.5168ms
"examples\\j30.sm\\j3033_6.sm"; 59; 663.5064ms
"examples\\j30.sm\\j3033_7.sm"; 58; 22.1015ms
"examples\\j30.sm\\j3033_8.sm"; 61; 661.4726ms
"examples\\j30.sm\\j3033_9.sm"; 65; 700.8252ms
"examples\\j30.sm\\j3034_1.sm"; 68; 680.2857ms
"examples\\j30.sm\\j3034_10.sm"; 47; 8.723ms
"examples\\j30.sm\\j3034_2.sm"; 44; 521.7453ms
"examples\\j30.sm\\j3034_3.sm"; 69; 577.3912ms
"examples\\j30.sm\\j3034_4.sm"; 67; 9.055ms
"examples\\j30.sm\\j3034_5.sm"; 63; 599.4306ms
"examples\\j30.sm\\j3034_6.sm"; 52; 553.0802ms
"examples\\j30.sm\\j3034_7.sm"; 58; 620.1919ms
"examples\\j30.sm\\j3034_8.sm"; 58; 659.2078ms
"examples\\j30.sm\\j3034_9.sm"; 60; 7.8641ms
"examples\\j30.sm\\j3035_1.sm"; 57; 7.9887ms
"examples\\j30.sm\\j3035_10.sm"; 59; 555.4464ms
"examples\\j30.sm\\j3035_2.sm"; 53; 9.1765ms
"examples\\j30.sm\\j3035_3.sm"; 60; 26.9021ms
"examples\\j30.sm\\j3035_4.sm"; 50; 659.9236ms
"examples\\j30.sm\\j3035_5.sm"; 60; 8.3479ms
"examples\\j30.sm\\j3035_6.sm"; 58; 539.0441ms
"examples\\j30.sm\\j3035_7.sm"; 61; 508.223ms
"examples\\j30.sm\\j3035_8.sm"; 63; 10.2101ms
"examples\\j30.sm\\j3035_9.sm"; 59; 512.1057ms
"examples\\j30.sm\\j3036_1.sm"; 66; 8.2402ms
"examples\\j30.sm\\j3036_10.sm"; 59; 7.9199ms
"examples\\j30.sm\\j3036_2.sm"; 44; 8.184ms
"examples\\j30.sm\\j3036_3.sm"; 61; 8.5556ms
"examples\\j30.sm\\j3036_4.sm"; 59; 7.9382ms
"examples\\j30.sm\\j3036_5.sm"; 64; 8.1246ms
"examples\\j30.sm\\j3036_6.sm"; 46; 8.5173ms
"examples\\j30.sm\\j3036_7.sm"; 56; 9.3213ms
"examples\\j30.sm\\j3036_8.sm"; 63; 9.1758ms
"examples\\j30.sm\\j3036_9.sm"; 59; 8.5107ms
"examples\\j30.sm\\j3037_1.sm"; 79; 829.9673ms
"examples\\j30.sm\\j3037_10.sm"; 81; 764.0598ms
"examples\\j30.sm\\j3037_2.sm"; 70; 737.4012ms
"examples\\j30.sm\\j3037_3.sm"; 81; 856.0436ms
